Trait	Category	Subcategory
Brain structure hippocampal volume	Brain health and disorders	
Brain structure temporal lobe volume	Brain health and disorders	
Brain structure	Brain health and disorders	
Bulimia nervosa	Brain health and disorders	
Callous-unemotional behaviour	Brain health and disorders	
Caudate nucleus volume	Brain health and disorders	
Cerebral amyloid angiopathy	Brain health and disorders	
Cerebrospinal AB1-42 levels in Alzheimers disease dementia	Brain health and disorders	
Cerebrospinal AB1-42 levels	Brain health and disorders	
Cerebrospinal fluid levels of Alzheimers disease-related proteins	Brain health and disorders	
Cerebrospinal P-tau181p levels	Brain health and disorders	
Cerebrospinal T-tau levels	Brain health and disorders	
Childhood and early adolescence aggressive behavior	Brain health and disorders	
Cognitive decline	Brain health and disorders	
Cognitive function	Brain health and disorders	
Conduct disorder interaction	Brain health and disorders	
Conduct disorder symptom count	Brain health and disorders	
Conduct disorder	Brain health and disorders	
Dementia and core Alzheimers disease neuropathologic changes	Brain health and disorders	
Depression quantitative trait	Brain health and disorders	
Depressive symptoms SSRI exposure interaction	Brain health and disorders	
Formal thought disorder in schizophrenia	Brain health and disorders	
Frontotemporal dementia	Brain health and disorders	
Heschls gyrus morphology	Brain health and disorders	
Hippocampal atrophy	Brain health and disorders	
Hippocampal sclerosis of aging	Brain health and disorders	
Hippocampal sclerosis	Brain health and disorders	
Hippocampal volume	Brain health and disorders	
Hirschsprung disease	Brain health and disorders	
HIV-associated dementia	Brain health and disorders	
Idiopathic membranous nephropathy	Brain health and disorders	
Ischemic stroke	Brain health and disorders	
Lewy body disease	Brain health and disorders	
Longitudinal change in brain amyloid plaque burden	Brain health and disorders	
Major depressive disorder broad	Brain health and disorders	
Major depressive disorder	Brain health and disorders	
Mesial temporal lobe epilepsy with hippocampal sclerosis	Brain health and disorders	
Middle childhood and early adolescence aggressive behavior	Brain health and disorders	
Migraine - clinic-based	Brain health and disorders	
Migraine	Brain health and disorders	
Migraine with aura	Brain health and disorders	
Migraine without aura	Brain health and disorders	
Moyamoya disease	Brain health and disorders	
Multiple sclerosis severity	Brain health and disorders	
Multiple sclerosis	Brain health and disorders	
Myasthenia gravis	Brain health and disorders	
Narcolepsy age of onset	Brain health and disorders	
Narcolepsy	Brain health and disorders	
Narcolepsy with cataplexy	Brain health and disorders	
Neuranatomic and neurocognitive phenotypes	Brain health and disorders	
Neuritic plaque	Brain health and disorders	
Neurofibrillary tangles	Brain health and disorders	
Neuroticism	Brain health and disorders	
Nicotine glucouronidation	Brain health and disorders	
Non-substance related behavioral disinhibition	Brain health and disorders	
Non-word repetition	Brain health and disorders	
Oligoclonal band status in multiple sclerosis	Brain health and disorders	
Paclitaxel-induced neuropathy	Brain health and disorders	
Pain	Brain health and disorders	
Parkinson disease and lewy body pathology	Brain health and disorders	
Parkinsons disease age of onset	Brain health and disorders	
Parkinsons disease familial	Brain health and disorders	
Parkinsons disease	Brain health and disorders	
Partial epilepsies	Brain health and disorders	
Personality dimensions	Brain health and disorders	
Plasma amyloid beta peptide concentrations ABx-40	Brain health and disorders	
Plasma amyloid beta peptide concentrations ABx-42	Brain health and disorders	
Post-traumatic stress disorder	Brain health and disorders	
Reading and spelling	Brain health and disorders	
Reading or mathematical ability	Brain health and disorders	
Schizophrenia, bipolar disorder and depression combined	Brain health and disorders	
Schizophrenia cytomegalovirus infection interaction	Brain health and disorders	
Schizophrenia negative symptoms	Brain health and disorders	
Schizophrenia treatment resistant	Brain health and disorders	
Schizophrenia	Brain health and disorders	
Social autistic-like traits	Brain health and disorders	
Social communication problems	Brain health and disorders	
Speech perception in dyslexia	Brain health and disorders	
Stroke ischemic	Brain health and disorders	
Stroke pediatric	Brain health and disorders	
Stroke	Brain health and disorders	
Subcortical brain region volumes	Brain health and disorders	
Suicidal ideation in depression or bipolar disorder	Brain health and disorders	
Suicide attempts in bipolar disorder	Brain health and disorders	
Suicide attempts in depression or bipolar disorder	Brain health and disorders	
Suicide attempts in major depressive disorder	Brain health and disorders	
Suicide behavior	Brain health and disorders	
Suicide ideation score in major depressive disorder	Brain health and disorders	
Suicide in bipolar disorder	Brain health and disorders	
Systemic sclerosis	Brain health and disorders	
Tourettes syndrome or obsessive-compulsive disorder	Brain health and disorders	
Tourette syndrome	Brain health and disorders	
Vascular brain injury	Brain health and disorders	
Vascular dementia	Brain health and disorders	
Verbal declarative memory	Brain health and disorders	
White matter hyperintensity burden	Brain health and disorders	
White matter hyperintensity volume in cerebral autosomal-dominant arteriopathy with subcortical infarcts and leukoencephalopathy	Brain health and disorders	
White matter integrity	Brain health and disorders	
Acute lymphoblastic leukemia adolescents and young adults	Cancer	
Acute lymphoblastic leukemia B-cell precursor	Cancer	
Acute lymphoblastic leukemia childhood	Cancer	
Basal cell carcinoma	Cancer	
B cell non-Hodgkin lymphoma	Cancer	
Behcets disease	Cancer	
Beta-2 microglubulin plasma levels	Cancer	
Beta-trace protein levels	Cancer	
Bladder cancer	Cancer	
Breast cancer estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative	Cancer	
Breast Cancer in BRCA1 mutation carriers	Cancer	
Breast cancer survival	Cancer	
Breast cancer	Cancer	
Cardia gastric cancer	Cancer	
Cervical cancer	Cancer	
Chronic lymphocytic leukemia	Cancer	
Chronic myeloid leukemia	Cancer	
Colorectal cancer calcium intake interaction	Cancer	
Colorectal cancer diet interaction	Cancer	
Colorectal cancer	Cancer	
Cutaneous malignant melanoma	Cancer	
Cutaneous nevi	Cancer	
Diffuse large B cell lymphoma	Cancer	
Digestive system disease Barretts esophagus and esophageal adenocarcinoma combined	Cancer	
Disease-free survival in breast cancer	Cancer	
Duodenal ulcer	Cancer	
Follicular lymphoma	Cancer	
Gallbladder cancer	Cancer	
Gastric adenocarcinoma histologically verified	Cancer	
Gastric cancer	Cancer	
Gastritis	Cancer	
Glioblastoma	Cancer	
Glioma high-grade	Cancer	
Glioma	Cancer	
Hepatocellular carcinoma hepatitis B virus related	Cancer	
Hepatocellular carcinoma	Cancer	
Hodgkins lymphoma	Cancer	
Lung adenocarcinoma	Cancer	
Lung cancer asbestos exposure interaction	Cancer	
Lung Cancer DNA repair capacity	Cancer	
Lung cancer smoking interaction	Cancer	
Lung cancer	Cancer	
Lymphoma	Cancer	
Marginal zone lymphoma	Cancer	
Matrix metalloproteinase levels	Cancer	
Melanoma	Cancer	
Meningioma	Cancer	
Metastasis at diagnosis in osteosarcoma	Cancer	
Methotrexate clearance acute lymphoblastic leukemia	Cancer	
Methotrexate phramacokinetics acute lymphoblastic leukemia	Cancer	
Multiple cancers lung cancer, gastric cancer, and squamous cell carcinoma	Cancer	
Multiple myeloma and monoclonal gammopathy	Cancer	
Multiple myeloma hyperdiploidy	Cancer	
Multiple myeloma IgH translocation	Cancer	
Multiple myeloma survival	Cancer	
Multiple myeloma	Cancer	
Myeloproliferative neoplasms	Cancer	
Nasopharyngeal carcinoma	Cancer	
Neuroblastoma high-risk	Cancer	
Neuroblastoma	Cancer	
Non-cardia gastric cancer	Cancer	
Non-melanoma skin cancer	Cancer	
Non-small cell lung cancer recurrence rate	Cancer	
Non-small cell lung cancer survival	Cancer	
Non-small cell lung cancer	Cancer	
Osteosarcoma	Cancer	
Ovarian cancer in BRCA1 mutation carriers	Cancer	
Ovarian cancer	Cancer	
Pancreatic cancer	Cancer	
PCA3 expression level	Cancer	
Progression free survival in metastatic colorectal cancer CAPOX-B vs CAPOX-B plus cetuximab	Cancer	
Progression free survival in metastatic colorectal cancer treatment interaction	Cancer	
Prostate cancer aggressiveness	Cancer	
Prostate cancer early onset	Cancer	
Prostate cancer survival	Cancer	
Prostate cancer	Cancer	
Prostate-specific antigen levels	Cancer	
Renal cell carcinoma	Cancer	
Sclerosing cholangitis and ulcerative colitis combined	Cancer	
Small-cell lung cancer survival	Cancer	
Sporadic pituitary adenoma	Cancer	
Squamous cell carcinoma	Cancer	
Sunburns	Cancer	
Survival in endocrine treated breast cancer estrogen-receptor positive	Cancer	
Testicular cancer	Cancer	
Testicular germ cell cancer	Cancer	
Testicular germ cell tumor	Cancer	
Thyroid cancer Papillary, radiation-related	Cancer	
Thyroid cancer	Cancer	
Tumor biomarkers	Cancer	
Upper aerodigestive tract cancers	Cancer	
Urinary bladder cancer	Cancer	
Uterine fibroids	Cancer	
Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	Cancer	
Wilms tumor	Cancer	
Cataracts in type 2 diabetes	Diabetes	
Cystic fibrosis-related diabetes	Diabetes	
Diabetes gestational	Diabetes	
Diabetic kidney disease	Diabetes	
Diabetic nephropathy in type 1 diabetes	Diabetes	
Diabetic retinopathy in type 2 diabetes	Diabetes	
Diabetic retinopathy	Diabetes	
Glycated hemoglobin levels	Diabetes	
Glycerophospholipid levels	Diabetes	
Insulin-related traits	Diabetes	
Insulin resistanceresponse	Diabetes	
Neuropathic pain in type 2 diabetes	Diabetes	
Paraoxonase activity	Diabetes	
Proinsulin levels	Diabetes	
Response to metformin in type 2 diabetes glycemic	Diabetes	
Sight-threatening diabetic retinopathy in type 2 diabetes	Diabetes	
Two-hour glucose challenge	Diabetes	
Type 1 diabetes and autoimmune thyroid diseases	Diabetes	
Type 1 diabetes autoantibodies	Diabetes	
Type 1 diabetes nephropathy	Diabetes	
Type 1 diabetes	Diabetes	
Type 2 diabetes and other traits	Diabetes	
Type 2 diabetes nephropathy	Diabetes	
Type 2 diabetes	Diabetes	
Type 2 diabetes young onset and obesity	Diabetes	
Urinary albumin excretion rate in type 1 diabetes	Diabetes	
Vaspin levels	Diabetes	
Yu-Zhi constitution type in type 2 diabetes	Diabetes	
Change in intraocular pressure in response to steroid treatment triamcinolone acetonide	General health	
Clozapine-induced agranulocytosis	General health	
Cough in response to angiotensin-converting enzyme inhibitor drugs	General health	
Drug-induced Stevens-Johnson syndrome or toxic epidermal necrolysis SJSTEN	General health	
Febrile seizures MMR vaccine-related	General health	
Febrile seizures MMR vaccine-unrelated	General health	
Lipoprotein-associated phospholipase A2 activity change in response to statin therapy	General health	
Nevirapine-induced rash	General health	
Opioid sensitivity	General health	
Peak creatinine levels in vancomycin therapy	General health	
Pharmacokinetics of antidepressant drugs in severe mental disorder concentration dose ratio	General health	
Pharmacokinetics of antiepileptic drugs in severe mental disorder concentration drug ratio	General health	
Pharmacokinetics of antipsychotic drugs in severe mental disorder concentration drug ratio	General health	
Pharmacokinetics of olanzapine in severe mental disorder concentration dose ratio	General health	
Response to abacavir-containing treatment in HIV-1 infection virologic failure	General health	
Response to angiotensin II receptor blocker therapy opposite direction w diuretic therapy	General health	
Response to angiotensin II receptor blocker therapy	General health	
Response to antidepressants	General health	
Response to antidepressant treatment citalopram	General health	
Response to anti-depressant treatment in major depressive disorder	General health	
Response to antineoplastic agents	General health	
Response to antipsychotic treatment	General health	
Response to anti-TNF treatment in rheumatoid arthritis	General health	
Response to bleomycin chromatid breaks	General health	
Response to cholinesterase inhibitors in Alzheimers disease	General health	
Response to citalopram treatment	General health	
Response to Dalcetrapib treatment in acute coronary syndrome	General health	
Response to diuretic therapy in hypertension	General health	
Response to efavirenz-containing treatment in HIV 1 infection virologic failure	General health	
Response to fenofibrate	General health	
Response to gemcitabine in pancreatic cancer	General health	
Response to haloperidol in psychosis	General health	
Response to hepatitis C treatment	General health	
Response to iloperidone treatment QT prolongation	General health	
Response to interferon beta therapy	General health	
Response to irinotecan and platinum-based chemotherapy in non-small-cell lung cancer	General health	
Response to irinotecan in non-small-cell lung cancer	General health	
Response to metformin	General health	
Response to methotrexate in juvenile idiopathic arthritis	General health	
Response to methotrexate in rheumatoid arthritis	General health	
Response to methylphenidate treatment in attention-deficithyperactivity disorder blood pressure	General health	
Response to montelukast in asthma change in FEV1	General health	
Response to platinum-based chemotherapy in non-small-cell lung cancer	General health	
Response to radiotherapy in prostate cancer toxicity	General health	
Response to simvastatin treatment PCSK9 protein level change	General health	
Response to statins LDL cholesterol change	General health	
Response to statin therapy	General health	
Response to tamoxifen in breast cancer	General health	
Response to thiopurine immunosuppressants in inflammatory bowel disease pancreatitis azathioprine and mercaptopurine	General health	
Response to TNF antagonist treatment	General health	
Response to treatment for acute lymphoblastic leukemia	General health	
Response to Vitamin E supplementation	General health	
Sexual dysfunction SSRISNRI-related	General health	
Thiazide-induced adverse metabolic effects in hypertensive patients	General health	
Thionamide-induced agranulocytosis in Graves' disease	General health	
Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor	General health	
Trichloroethylene-induced hypersensitivity syndrome	General health	
Warfarin maintenance dose	General health	
Adverse response to chemotherapy in breast cancer alopecia anti-microtubule	General health	
Adverse response to chemotherapy in breast cancer alopecia cyclophosphamide+doxorubicin+-5FU	General health	
Adverse response to chemotherapy in breast cancer alopecia cyclophosphamide+epirubicin+-5FU	General health	
Adverse response to chemotherapy in breast cancer alopecia docetaxel	General health	
Adverse response to chemotherapy in breast cancer alopecia paclitaxel	General health	
Adverse response to chemotherapy in breast cancer alopecia	General health	
Adverse response to chemotherapy neutropenialeucopenia 5-fluorouracil	General health	
Adverse response to chemotherapy neutropenialeucopenia all anthracycline-based drugs	General health	
Adverse response to chemotherapy neutropenialeucopenia all antimetabolite drugs	General health	
Adverse response to chemotherapy neutropenialeucopenia all antimicrotubule drugs	General health	
Adverse response to chemotherapy neutropenialeucopenia all platinum-based drugs	General health	
Adverse response to chemotherapy neutropenialeucopenia all topoisomerase inhibitors	General health	
Adverse response to chemotherapy neutropenialeucopenia camptothecin	General health	
Adverse response to chemotherapy neutropenialeucopenia carboplatin	General health	
Adverse response to chemotherapy neutropenialeucopenia cisplatin	General health	
Adverse response to chemotherapy neutropenialeucopenia cyclophosphamide	General health	
Adverse response to chemotherapy neutropenialeucopenia docetaxel	General health	
Adverse response to chemotherapy neutropenialeucopenia doxorubicin	General health	
Adverse response to chemotherapy neutropenialeucopenia epirubicin	General health	
Adverse response to chemotherapy neutropenialeucopenia etoposide	General health	
Adverse response to chemotherapy neutropenialeucopenia gemcitabine	General health	
Adverse response to chemotherapy neutropenialeucopenia paclitaxel + carboplatin	General health	
Adverse response to chemotherapy neutropenialeucopenia paclitaxel	General health	
Amyloid A serum levels	General health	
Androgen levels	General health	
Anger	General health	
Apolipoprotein Levels	General health	
Aspirin exacerbated respiratory disease in asthmatics	General health	
Aspirin hydrolysis plasma	General health	
Asthma and hay fever	Immune diseases and disorders	
Asthma bronchodilator response	Immune diseases and disorders	
Asthma childhood onset	Immune diseases and disorders	
Asthma or chronic obstructive pulmonary disease	Immune diseases and disorders	
Asthma sex interaction	Immune diseases and disorders	
Asthma toluene diisocyanate-induced	Immune diseases and disorders	
Asthma	Immune diseases and disorders	
Atopic dermatitis	Immune diseases and disorders	
Bilirubin levels	General health	
Biochemical measures	General health	
Biomedical quantitative traits	General health	
Body mass in chronic obstructive pulmonary disease	Obesity	
Body mass index age interaction	Obesity	
Body mass index change over time	Obesity	
Body mass index in asthmatics	Obesity	
Body mass index in non-asthmatics	Obesity	
Body mass index interaction	Obesity	
Body mass index	Obesity	
Body mass lean	Obesity	
Bone mineral density hip	General health	
Bone mineral density paediatric, lower limb	General health	
Bone mineral density paediatric, skull	General health	
Bone mineral density paediatric, total body less head	General health	
Bone mineral density paediatric, upper limb	General health	
Bone mineral density spine	General health	
Bone mineral density	General health	
Bone mineral density wrist	General health	
Bone properties heel	General health	
Calcium levels	General health	
Carotenoid and tocopherol levels	General health	
Cholesterol and Triglycerides	General health	
Cholesterol, total	General health	
Coagulation factor levels	General health	
Comprehensive strength and appendicular lean mass	General health	
Corneal curvature	General health	
Corneal structure	General health	
Developmental dysplasia of the hip	General health	
Dietary macronutrient intake	General health	
Fasting glucose-related traits	General health	
Fasting insulin interaction	General health	
Fasting insulin-related traits	General health	
Fasting plasma glucose childhood	General health	
Fasting plasma glucose	General health	
Fat distribution HIV	General health	
Febrile seizures	General health	
Fetal hemoglobin levels	General health	
Fibrinogen	General health	
Folate pathway vitamin levels	General health	
Free thyroxine concentration	General health	
Fuchss corneal dystrophy	General health	
Gambling	General health	
Gaucher disease severity	General health	
Glomerular filtration rate	General health	
Glycemic traits	General health	
Gout	General health	
HDL Cholesterol - Triglycerides HDLC-TG	General health	
HDL cholesterol	General health	
Hearing function	General health	
Hearing impairment	General health	
Heart rate	General health	
Height adjusted BMI	Obesity	
Height	General health	
Hematocrit	General health	
Hormone measurements	General health	
Hypertriglyceridemia	General health	
Insomnia	General health	
Insulin-like growth factors	General health	
Iron levels	General health	
Iron status biomarkers ferritin levels	General health	
Iron status biomarkers iron levels	General health	
Iron status biomarkers transferrin levels	General health	
Iron status biomarkers transferrin saturation	General health	
Iron status biomarkers	General health	
Irritable bowel syndrome	General health	
Kidney function decline traits	General health	
Kidney stones	General health	
L-arginine levels	General health	
LDL cholesterol	General health	
LDL oxidized	General health	
LDL peak particle diameter total fat intake interaction	General health	
Lead levels in blood	General health	
Lipoprotein-associated phospholipase A2 activity and mass	General health	
Liver enzyme levels alanine transaminase	General health	
Liver enzyme levels alkaline phosphatase	General health	
Liver enzyme levels aspartate transaminase	General health	
Liver enzyme levels gamma-glutamyl transferase	General health	
Liver enzyme levels	General health	
Lp a levels	General health	
Magnesium levels	General health	
Metabolite levels 5-HIAA MHPG Ratio	General health	
Metabolite levels 5-HIAA	General health	
Metabolite levels Dihydroxy docosatrienoic acid	General health	
Metabolite levels HVA-5-HIAA Factor score	General health	
Metabolite levels HVA5-HIAA ratio	General health	
Metabolite levels HVAMHPG ratio	General health	
Metabolite levels HVA	General health	
Metabolite levels MHPG	General health	
Metabolite levels Pyroglutamine	General health	
Metabolite levels	General health	
Metabolite levels  X-11787	General health	
Natriuretic peptide levels	General health	
Nephrotic syndrome acquired	General health	
N-glycan levels	General health	
Non-albumin protein levels	General health	
Oleic acid 18:1n-9 plasma levels	General health	
Osteoarthritis biomarkers	General health	
Otitis media chronicrecurrent	General health	
Palmitic acid 16:0 plasma levels	General health	
Palmitoleic acid 16:1n-7 plasma levels	General health	
Pancreatitis	General health	
Percent mammographic density	General health	
Phospholipid levels plasma	General health	
Phosphorus levels	General health	
Phytosterol levels	General health	
Plasma omega-6 polyunsaturated fatty acid levels adrenic acid	General health	
Plasma omega-6 polyunsaturated fatty acid levels arachidonic acid	General health	
Plasma omega-6 polyunsaturated fatty acid levels dihomo-gamma-linolenic acid	General health	
Plasma omega-6 polyunsaturated fatty acid levels gamma-linolenic acid	General health	
Plasma omega-6 polyunsaturated fatty acid levels linoleic acid	General health	
Plasma plasminogen activator levels	General health	
Plasma plasminogen levels	General health	
Plasma renin activity levels	General health	
Postprandial triglyceride response to high fat diet meal	General health	
Protein biomarker	General health	
Protein C levels	General health	
Renal function and chronic kidney disease	General health	
Renal function-related traits BUN	General health	
Renal function-related traits eGRFcrea	General health	
Renal function-related traits sCR	General health	
Renal function-related traits urea	General health	
Renal sinus fat	General health	
Resting heart rate	General health	
Self-rated health	General health	
Self-reported allergy	General health	
Serum albumin level	General health	
Serum alkaline phosphatase levels	General health	
Serum alpha1	General health	
Serum ceruloplasmin levels	General health	
Serum dimethylarginine levels asymmetricsymetric ratio	General health	
Serum IgA levels	General health	
Serum IgE levels	General health	
Serum lipase activity	General health	
Serum metabolite levels	General health	
Serum prostate-specific antigen levels	General health	
Serum protein levels sST2	General health	
Serum selenium levels	General health	
Serum tamsulosin hydrochloride concentration	General health	
Serum thyroid-stimulating hormone levels	General health	
Serum total protein level	General health	
Serum uric acid levels	General health	
Serum VEGFR2 concentration	General health	
Serum vitamin D-binding protein levels	General health	
Sleep depth	General health	
Sleep duration	General health	
Sleep quality	General health	
Sleep time	General health	
Soluble E-selectin levels	General health	
Soluble ICAM-1	General health	
Soluble leptin receptor levels	General health	
Soluble levels of adhesion molecules	General health	
Stearic acid 18:0 plasma levels	General health	
Suicidal ideation	General health	
Suicide risk	General health	
Symmetrical dimethylarginine levels	General health	
Thyroid hormone levels	General health	
Thyroid stimulating hormone	General health	
Thyroid volume	General health	
Trans fatty acid levels	General health	
Triglycerides-Blood Pressure TG-BP	General health	
Triglycerides	General health	
Underweight status	General health	
Urate levels	General health	
Uric acid levels	General health	
Urinary albumin excretion	General health	
Urinary metabolites H-NMR features	General health	
Urinary metabolites	General health	
Urinary uromodulin levels	General health	
Vascular endothelial growth factor levels	General health	
Very long-chain saturated fatty acid levels fatty acid 20:0	General health	
Very long-chain saturated fatty acid levels fatty acid 22:0	General health	
Very long-chain saturated fatty acid levels fatty acid 24:0	General health	
Vitamin B12 levels	General health	
Vitamin B levels in ischemic stroke	General health	
Vitamin D levels	General health	
Vitamin E levels	General health	
Waist circumference and related phenotypes	General health	
Waist Circumference - Triglycerides WC-TG	General health	
Waist circumference	General health	
Waist-hip ratio	General health	
Waist-to-hip circumference ratio interaction	General health	
Abdominal aortic aneurysm	Heart health and disorders	
Activated partial thromboplastin time	Heart health and disorders	
Angiotensin-converting enzyme activity	Heart health and disorders	
Ankle-brachial index	Heart health and disorders	
Anterior chamber depth	Heart health and disorders	
Anthracycline-induced cardiotoxicity in childhood cancer	Heart health and disorders	
Aortic root size	Heart health and disorders	
Aortic-valve calcification	Heart health and disorders	
AR-C124910XX levels in individuals with acute coronary syndromes treated with ticagrelor	Heart health and disorders	
Arterial stiffness	Heart health and disorders	
Atrial fibrillationatrial flutter	Heart health and disorders	
Atrial fibrillation	Heart health and disorders	
Atrioventricular conduction	Heart health and disorders	
Blood and toenail selenium levels	Heart health and disorders	
Blood metabolite levels	Heart health and disorders	
Blood metabolite ratios	Heart health and disorders	
Blood pressure age interaction	Heart health and disorders	
Blood pressure anthropometric measures interaction	Heart health and disorders	
Blood pressure measurement cold pressor test	Heart health and disorders	
Blood pressure measurement high sodium and potassium intervention	Heart health and disorders	
Blood pressure measurement high sodium intervention	Heart health and disorders	
Blood pressure measurement low sodium intervention	Heart health and disorders	
Blood pressure	Heart health and disorders	
Blood trace element Cu levels	Heart health and disorders	
Blood trace element Se levels	Heart health and disorders	
Blood trace element Zn levels	Heart health and disorders	
Brugada syndrome	Heart health and disorders	
Cardiac repolarization	Heart health and disorders	
Cardiac structure and function	Heart health and disorders	
Cardiac Troponin-T levels	Heart health and disorders	
Cardiovascular disease risk factors	Heart health and disorders	
Cardiovascular heart disease in diabetics	Heart health and disorders	
Carotid artery intima media thickness sex interaction	Heart health and disorders	
Carotid atherosclerosis in HIV infection	Heart health and disorders	
Carotid intima media thickness	Heart health and disorders	
Carotid plaque burden smoking interaction	Heart health and disorders	
Congenital heart disease	Heart health and disorders	
Congenital heart malformation	Heart health and disorders	
Coronary arterial lesions in patients with Kawasaki disease	Heart health and disorders	
Coronary artery calcification	Heart health and disorders	
Coronary artery disease	Heart health and disorders	
Coronary heart disease	Heart health and disorders	
Coronary restenosis	Heart health and disorders	
Coronary spasm	Heart health and disorders	
Cortical thickness	Heart health and disorders	
D-dimer levels	Heart health and disorders	
Diastolic blood pressure alcohol consumption interaction	Heart health and disorders	
Diastolic blood pressure	Heart health and disorders	
Hematological and biochemical traits	Heart health and disorders	
Hematological parameters	Heart health and disorders	
Hematology traits	Heart health and disorders	
Hemoglobin A2 levels in sickle cell anemia	Heart health and disorders	
Hemoglobin levels	Heart health and disorders	
Hemoglobin	Heart health and disorders	
Hemostatic factors and hematological phenotypes	Heart health and disorders	
Hypertension	Heart health and disorders	
Large artery stroke	Heart health and disorders	
Life threatening arrhythmia	Heart health and disorders	
Mean corpuscular hemoglobin concentration	Heart health and disorders	
Mean corpuscular hemoglobin	Heart health and disorders	
Mean corpuscular volume	Heart health and disorders	
Mean platelet volume	Heart health and disorders	
Mitral valve prolapse	Heart health and disorders	
Mortality in heart failure	Heart health and disorders	
Myocardial infarction early onset	Heart health and disorders	
Myocardial infarction	Heart health and disorders	
Orthostatic hypotension	Heart health and disorders	
Peripheral artery disease	Heart health and disorders	
Plasma cystastin c levels in acute coronary syndrome	Heart health and disorders	
Plasma homocysteine levels post-methionine load test	Heart health and disorders	
Plasma homocysteine levels	Heart health and disorders	
Platelet aggregation	Heart health and disorders	
Platelet count	Heart health and disorders	
Postoperative atrial fibrillation in coronary artery bypass grafting surgery	Heart health and disorders	
PR interval	Heart health and disorders	
PR segment	Heart health and disorders	
Pulmonary arterial hypertension without BMPR2 mutations	Heart health and disorders	
Pulmonary artery enlargement and chronic obstructive pulmonary disease	Heart health and disorders	
Pulmonary artery enlargement in chronic obstructive pulmonary disease	Heart health and disorders	
Pulse pressure in young-onset hypertension	Heart health and disorders	
P wave duration	Heart health and disorders	
QRS duration	Heart health and disorders	
QT interval interaction	Heart health and disorders	
QT interval	Heart health and disorders	
Ribavirin-induced anemia	Heart health and disorders	
RR interval heart rate	Heart health and disorders	
Sagittal craniosynostosis	Heart health and disorders	
Sickle cell anemia haemolysis	Heart health and disorders	
Smoking cessation in chronic obstructive pulmonary disease	Heart health and disorders	
Sudden cardiac arrest	Heart health and disorders	
Systolic blood pressure in sickle cell anemia	Heart health and disorders	
Systolic blood pressure	Heart health and disorders	
Tetralogy of Fallot	Heart health and disorders	
Vein graft stenosis in coronary artery bypass grafting	Heart health and disorders	
Venous thromboembolism	Heart health and disorders	
Vogt-Koyanagi-Harada syndrome	Heart health and disorders	
vWF and FVIII levels	Heart health and disorders	
Acute urticaria and angioedema non-steroidal anti-inflammatory drug-induced	Immune diseases and disorders	
AIDS progression	Immune diseases and disorders	
AIDS	Immune diseases and disorders	
Allergic dermatitis nickel	Immune diseases and disorders	
Allergic rhinitis in non-asthmatics	Immune diseases and disorders	
Allergic rhinitis	Immune diseases and disorders	
Allergic sensitization	Immune diseases and disorders	
